Info    2025-11-15 13:10:21  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0097)     Description:Current dynamic library path[/home/sunrise/Documents/Inference-for-RDKx5/autoaim/install/hik_camera/lib/libMvUsb3vTL.so]     Solution:
Info    2025-11-15 13:10:21  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0100)     Description:U3V_Version: 3.2.0.3     Solution:
Info    2025-11-15 13:10:21  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0101)     Description:U3V_Description: BaseLine Build 20210715     Solution:
Info    2025-11-15 13:10:21  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0397)     Description:device speed: [0x4]     Solution:
Info    2025-11-15 13:10:22  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0368)     Description:[IsSupportEvent]     Solution:
Info    2025-11-15 13:10:22  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0707)     Description:U3V EventSendThread Start     Solution:
Info    2025-11-15 13:10:22  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0280)     Description:U3V EventRecvThread Start     Solution:
Info    2025-11-15 13:10:23  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(StreamProcess.cpp-L1003)     Description:U3V RecvThread Start     Solution:
Info    2025-11-15 13:10:23  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DeviceControl.cpp-L1275)     Description:AcquisitionStart Execute Success     Solution:
Error   2025-11-15 13:10:23  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:23  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:10:24  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:24  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:10:25  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:25  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
